location,latitude,longitude,address
"Karachi, Pakistan",24.8546842,67.0207055,"کراچی ڈویژن, سندھ, پاکستان"
Karnataka (IN),14.5203896,75.7223521,"Karnataka, India"
"Karuzi, Burundi",-3.1255377,30.0978347,"Karuzi, Burundi"
"Kasese, Uganda",0.1310412,30.00479684525631,"Kasese, Western Region, Uganda"
Kasoa,5.532573,-0.437491,"Kasoa, Gomoa East District, Central Region, Ghana"
Kasungu,-12.99248765,33.472356695915096,"Kasungu, Central Region, Malawi"
Katavi-Tanzania,-6.3015493,30.9278274,"Katavi, Western Zone, Tanzania"
"Kathmandu, Nepal",27.708317,85.3205817,"काठमाडौँ महानगरपालिका, काठमाडौं, बागमती प्रदेश, नेपाल"
"Katsina, Nigeria",12.5630825,7.6207063,"Katsina, Nigeria"
"Kent, United Kingdom",51.20707485,0.7210361813401444,"Kent, England, United Kingdom"
"Kent, Washington",47.3826903,-122.2270272,"Kent, King County, Washington, United States"
"Kenya ,Baringo County",0.4926332,35.7416031,"Vision Fund Kenya, Kabarnet Road, Kabarnet, Baringo Central, Baringo, Rift Valley, 30400, Kenya"
"Kesavadasupalem, Andhra Pradesh, India",16.3598157,81.7955795,"Kesavadasupalem, Sakhinetipalle, Dr. B. R. Ambedkar Konaseema, Andhra Pradesh, 533250, India"
"Keta, Ghana",5.9215688,0.9910728,"Keta, Keta Municipal District, Volta Region, VK-0033-1041, Ghana"
"Khulna, Bangladesh",22.9372087,89.2852741,"খুলনা বিভাগ, বাংলাদেশ"
Kiambu,-1.03639505,36.843131163110776,"Kiambu, Central Kenya, Kenya"
"Kiboga, Uganda",0.85925585,31.928348891802138,"Kiboga, Central Region, Uganda"
"Kigali, Rwanda",-1.8859597,30.1296751,"Umujyi wa Kigali, Rwanda"
"Kigoma, Buhigwe district",-4.460744,29.8885277,"Buhigwe District Council, R330, Buhigwe, Kigoma, Western Zone, Tanzania"
"Kinshasa, DRC",-4.3196982,15.3424196,"Kinshasa, République démocratique du Congo"
Kiserian; Kajiado North; Kenya,-1.4258317,36.685989,"kiserian oloolaiser water, Kiserian, Kajiado North, Kajiado, Rift Valley, Kenya"
Kisii County of Kenya,-0.6858902,34.78755041113248,"Kenya Institute of Highway & Building Technology (Kisii Training Center), A1 Kisii-Keroka-Sotik-Litein-Chemosit-A12 Kericho, Bobaracho ward, Kisii Central, Kisii, Nyanza, Kenya"
"Kisumu, Kenya",-0.1029109,34.7541761,"Kisumu, City of Kisumu, Kisumu, Nyanza, Kenya"
"KITALE, KENYA",1.018076,35.000236,"Kitale, Saboti, Trans Nzoia, Rift Valley, Kenya"
"Kochi, India",9.9674277,76.2454436,"Kochi, Ernakulam, Kerala, 682001, India"
"Kolkata, India",22.5726459,88.3638953,"Kolkata, West Bengal, India"
"kopargaon, Maharashtra, India.",19.8370037,74.48291234,"Kopargaon, Ahmednagar, Maharashtra, India"
"KORBA, Chattisgarh",22.5198217,82.63500285150224,"Korba, Chhattisgarh, India"
"Kota Kinabalu, Malaysia",5.9780066,116.0728988,"Kota Kinabalu, Bahagian Pantai Barat, Sabah, 88000, Malaysia"
"Kuala Lumpur, Malaysia",3.1526589,101.7022205,"Kuala Lumpur, Malaysia"
"Kumasi, Ghana",6.6985605,-1.6233086,"Kumasi, Kumasi Metropolitan District, Ashanti Region, Ghana"
